	col0_1	col0_2	col0_3	ring1ab_1	ring1ab_2	ring1ab_3	emf1_1	emf1_2	emf1_3	clfswn_1	clfswn_2	clfswn_3
AT2G40980	7.535773	7.599549	9.307972	6.753871	8.25813	7.414623	8.599599	8.290789	8.486814	5.40819	4.377429	5.973924
AT2G40990	0	0	0	0	0	0	0	0	0.039996	0	0	0
AT2G40995	0	0	0	0	0	0	0	0	0	0	0	0
AT2G41000	2.870018	3.824878	3.247888	4.376836	5.013681	4.571531	4.017256	4.090861	5.016534	8.013625	6.993476	7.057604
AT2G41010	4.930269	6.53198	6.55267	114.1282	39.41865	53.60181	19.61739	19.67578	25.4818	21.77536	23.24134	20.53248
AT2G41020	6.80334	6.634163	7.549721	7.313232	8.062013	8.339915	6.984845	9.013929	8.438628	6.712102	7.838992	6.849662
AT2G41040	5.671065	6.802926	7.034286	6.028885	6.775556	5.010992	8.377913	8.412951	11.10764	11.81222	8.539022	8.054479
AT2G41050	3.939004	3.99249	3.572739	4.29142	5.570111	5.297927	6.077191	5.222022	4.935437	5.043359	7.001529	6.094572
AT2G41060	17.23105	19.89475	16.5528	15.18841	16.94435	16.61781	22.67089	25.56978	24.50522	19.18722	19.36813	18.65915
AT2G41070	3.219338	3.631354	3.443033	32.90253	43.60591	28.97119	9.395966	8.626442	7.962845	41.39706	39.40501	47.09738
AT2G41080	3.601644	3.210683	4.333623	3.879668	3.356597	2.630995	4.860407	4.243293	4.055351	1.656427	2.197489	2.317831
AT2G41082	0.877845	0.606081	0.326609	1.036933	1.979744	0.521851	0.694077	0.557153	2.627139	0.626473	0.51857	0.208676
AT2G41090	23.82118	27.52565	25.05952	28.6585	30.11186	24.4197	34.36636	58.61716	90.23501	7.543126	7.006468	7.38058
AT2G41100	43.02343	48.42943	49.30728	353.8641	83.54809	135.6279	115.6256	148.297	151.4085	45.54439	46.07143	38.54792
AT2G41110	51.50206	65.156	61.63693	128.9182	91.45388	91.96032	45.15105	53.62354	56.40516	61.83203	61.82281	59.95295
